seed,policy,pid,completion_time_s,rounds,total_prompt_tokens,total_decode_tokens
20262101,bdp,12,554.6744401883908,20,24495,8085
20262101,bdp,13,370.31986199612646,18,15351,4909
20262101,bdp,14,334.0,10,33258,1494
20262101,bdp,15,374.08516297852594,15,24090,5315
20262101,bdp,16,66.16268091715119,12,34112,389
20262101,bdp,17,531.5,20,19293,3378
20262101,bdp,18,380.05774937986683,19,27176,5032
20262101,bdp,19,430.1359474381093,3,7119,2008
20262101,bdp,20,309.5626727165639,20,28629,2996
20262101,bdp,21,146.01626295881218,10,8022,1566
20262101,bdp,22,770.0,12,19852,11859
20262101,bdp,23,712.5,11,25853,9549
20262101,bdp,24,294.0,16,30323,1912
20262101,bdp,25,566.7376766563468,18,30894,3781
20262101,bdp,26,97.67373659545005,4,3813,993
20262101,bdp,27,103.75363877189258,8,8763,922
20262101,bdp,28,174.5,15,31014,1570
20262101,bdp,29,701.0083356134492,20,17352,13367
20262101,bdp,30,644.4010232004086,20,27608,5746
20262101,bdp,31,299.37236485291965,20,26123,3748
20262101,bdp,32,925.5,9,15495,21964
20262101,bdp,33,411.0,6,12952,1753
20262101,bdp,34,340.5,13,28934,4545
20262101,bdp,35,312.0460883485997,18,27477,3504
20262101,bdp,36,572.0,20,10691,9773
20262101,bdp,37,392.2630610929589,16,28715,3738
20262101,bdp,38,254.88478921915902,20,24168,2698
20262101,bdp,39,344.3337413413564,14,28496,975
20262101,bdp,40,435.7174872865933,20,22085,6632
20262101,bdp,41,364.5391844159926,20,18017,5282
20262101,bdp,42,465.0,20,23723,7017
20262101,bdp,43,506.8981711226643,20,23636,8144
20262101,bdp,44,1291.5,9,2275,56172
20262101,bdp,45,711.5,18,19352,13490
20262101,bdp,46,837.0,18,18955,16214
20262101,bdp,47,767.5,15,17440,15746
20262101,bdp,48,622.0,18,21040,5032
20262101,bdp,49,417.5,12,19236,2465
20262101,bdp,50,697.3692555229155,13,26595,8448
20262101,bdp,51,729.5,17,20981,15023
20262101,bdp,52,706.5,20,14229,10227
20262101,bdp,53,239.2596271685716,20,32000,2463
20262101,bdp,54,334.7887156667343,20,28181,4116
20262101,bdp,55,508.0639336832218,20,31826,2716
20262101,bdp,56,184.22371056441048,10,11898,1938
20262101,bdp,57,697.1606067250103,17,17402,13584
20262101,bdp,58,405.8145234370893,20,30649,4309
20262101,bdp,59,414.4138740516502,15,24703,6119
20262101,bdp,60,485.21923756586335,14,27015,7400
20262101,bdp,61,400.9351741238428,20,27750,4990
20262101,bdp,62,351.3715280073684,9,10053,4574
20262101,bdp,63,414.0,7,17637,868
20262101,bdp,64,265.11382040846917,20,13853,2826
20262101,bdp,65,275.1308352496545,20,25700,2927
20262101,bdp,66,631.5,19,23618,8969
20262101,bdp,67,857.3838587733952,13,15993,19141
20262101,bdp,68,255.3059152744633,20,28692,2703
20262101,bdp,69,416.9890014845542,14,26817,6388
20262101,bdp,70,514.669040287315,10,10263,7358
20262101,bdp,71,288.607941700451,16,32560,3805
20262101,bdp,72,559.5905791165292,20,25520,6018
20262101,bdp,73,637.5,20,22951,11214
20262101,bdp,74,358.0,20,24621,4387
20262101,bdp,75,118.82087835202532,14,31746,908
20262101,bdp,76,381.7414052987113,20,26396,4322
20262101,bdp,77,188.89173761066584,19,30092,1787
20262101,bdp,78,67.15307764596542,6,11535,523
20262101,bdp,79,681.0,20,19033,13275
20262101,hindsight_index,0,376.9953585062066,20,13836,5681
20262101,hindsight_index,1,253.09647074579107,20,13408,3011
