policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,factor,value,rep,scenario,seed,runtime_s,total_requests,bdp_lambda_last,bdp_updates,knapsack_calls,mean_knapsack_ms
hazard_grade_knapsack,179.20503468708182,171.76329250430666,319.23585443057505,366.4546109534565,567.3375975435905,406.1074058859594,67.79032478460937,125.45246002607128,2.557436014783107,4.994337239882297,0.6704747164980462,368.0,273.0,421228.0,344924.0,89096.99999999975,209.0,344924.0,0.0,156.0,0.0,0.0,0.5688225515134451,0.6477898267360415,0.27071176314145934,7.502891013092733,6.36467477293667,1.1382162401560585,0.8124146174316168,127.0,0.42143482678296806,1.1601953001218135,386.0,decode_batch_sat,32.0,0,decode_batch_sat_32.0_r0,20492720,0.3091502299998865,641.0,,,127.0,0.11063496851857339
thunder,356.13349073075716,319.89351886672307,590.6212598374159,717.4472348011614,1222.5483222345772,188.45880838384716,29.299455365926235,308.6051625531045,21.739466544130586,88.96548664514582,0.8586388429430843,421.0,176.0,237303.99999999988,163663.0,88381.00000000001,112.0,163663.0,0.0,130.0,0.0,0.0,0.5785005180888055,0.6014855203854595,0.43665352206418623,2.735129717927263,2.4676534327162276,0.26747628521103667,0.789734632892162,289.0,0.3327824913452107,1.1838600000828579,386.0,decode_batch_sat,32.0,1,decode_batch_sat_32.0_r1,20492721,0.5368650240000079,597.0,,,,
student_bdp,184.6343665052272,135.33409628348002,329.3811840377353,434.8890527414973,921.1897039361022,250.11134950329574,38.88449886809051,171.83224840362527,2.476179629657648,4.92182031964669,0.8427038302246138,395.0,202.0,255752.99999999997,182112.0,88380.99999999972,138.0,182112.0,1.0,147.0,0.0,0.0,0.49634344613565246,0.5329595628491041,0.2918366638665797,4.198990250026339,3.7242980367019807,0.47469221332435807,0.7620191202432961,212.0,0.1975797594453516,0.7411325999783002,386.0,decode_batch_sat,32.0,1,decode_batch_sat_32.0_r1,20492721,0.34452273099986996,597.0,0.0,146.0,,
hazard_grade_knapsack,182.26812160107437,137.5207057015936,325.8326293519385,430.3903681894018,916.7756469214528,251.31557625214728,39.07171849545102,169.98185822090903,2.1352835971801754,4.769308932208487,0.8442352290836224,398.0,199.0,253979.99999999988,180339.0,88381.00000000028,135.0,180339.0,3.0,146.0,0.0,0.0,0.4904829481035685,0.527817154595209,0.28221267755332713,4.276010009580323,3.783277473097953,0.49273253648236937,0.763484476814789,210.0,0.26488649525076435,1.0563672000102993,386.0,decode_batch_sat,32.0,1,decode_batch_sat_32.0_r1,20492721,0.3516510609999841,597.0,,,210.0,0.07184948094401902
thunder,446.03744321725605,420.44515260116174,802.7648989300894,885.6810738899909,1077.9815891662681,213.7327782918777,36.2343850697949,334.3227536890307,25.421884011717484,89.335144076078,0.7436735412225041,424.0,227.0,370517.99999999965,294201.0,99569.99999999971,163.0,294201.0,0.0,194.0,0.0,0.0,0.7060939691262876,0.7372609095002665,0.5457392879633115,3.5418072191541308,3.1858562701546265,0.3559509489995055,0.9181303852340694,261.0,0.3839116053623908,0.8143459999701008,386.0,decode_batch_sat,32.0,2,decode_batch_sat_32.0_r2,20492722,0.49430890200005706,651.0,,,,
student_bdp,221.51490936091346,169.54555781428402,487.23271738162197,529.3973681104268,931.182711314256,247.42727415419603,41.94665507145354,172.1916080679107,2.5371532199567404,4.840132148751707,0.8041688194124377,421.0,230.0,301084.00000000006,224767.0,99570.0000000005,166.0,224767.0,2.0,215.0,0.0,0.0,0.4845199010041161,0.5250210036335006,0.2845256501561695,4.66774189473517,4.141052803756021,0.5266890909791491,0.7162703296461063,210.0,0.2825495666608428,1.162624450000748,386.0,decode_batch_sat,32.0,2,decode_batch_sat_32.0_r2,20492722,0.43240898299995933,651.0,0.0,131.0,,
hazard_grade_knapsack,218.1666745690422,158.18866070180982,486.07380040410413,520.9420727375101,930.7087806282907,247.55326778421986,41.96801492904353,169.62169260741172,2.218641356216839,4.804374554369158,0.8213013359076252,442.0,209.0,281419.99999999994,205103.0,99570.00000000006,145.0,205103.0,3.0,214.0,0.0,0.0,0.46910489315330794,0.5089407429886189,0.2682741978534535,4.662666604413089,4.164266004193842,0.49840060021924715,0.7105878631870068,210.0,0.3674692857083799,1.3078226999823523,386.0,decode_batch_sat,32.0,2,decode_batch_sat_32.0_r2,20492722,0.42244710999989366,651.0,,,210.0,0.10746286666289961
thunder,731.7379519420487,758.0641954472056,1150.6175228030834,1230.3019288305964,1458.7737570233226,157.940872524427,31.629304940438633,495.4184241836909,43.82094604399483,145.38114511263436,0.6507496334455073,437.0,332.0,624074.0000000005,532611.0,115478.9999999999,268.0,532611.0,0.0,236.0,0.0,0.0,0.7644428665822406,0.7979641059911553,0.5934210030110791,3.658154593939193,3.3287100515505927,0.32944454238860027,0.9369851276575359,1499.0,0.4739197558411616,0.916435000090132,386.0,control_interval_s,1.0,0,control_interval_s_1.0_r0,20561720,1.3615592830001333,769.0,,,,
student_bdp,318.25548760204845,303.0,520.3000000000001,620.5163075464848,872.4775805636829,264.07555349576444,52.883880374542414,217.56929996964516,5.440161607745528,27.85455895026736,0.4884315664401329,281.0,488.0,871610.999999998,780148.0,115479.0000000001,424.0,780148.0,1.0,269.0,0.0,0.0,0.659039461396334,0.7542478432507507,0.24065869859798047,9.614419466307696,8.641053333226116,0.9733661330815787,0.9343093288229847,890.0,0.38613363146059065,0.9562606000599769,386.0,control_interval_s,1.0,0,control_interval_s_1.0_r0,20561720,0.8295528890000696,769.0,6.042137304730211e-10,736.0,,
hazard_grade_knapsack,304.48403171048693,301.5,483.85,550.748699635107,846.0986597627494,272.30866913866214,54.53264754365395,210.83755097241485,3.5919582322697434,21.578090375102676,0.31998764599885116,207.0,562.0,1128490.0000000002,1037027.0,115478.99999999882,498.0,1037027.0,2.0,267.0,1.0,0.0,0.6043273477324737,0.7200316048218813,0.13812972057092354,10.552268993870024,9.29447806002976,1.2577909338402757,0.8474189052622428,856.0,0.412147620329931,1.0640722499601907,386.0,control_interval_s,1.0,0,control_interval_s_1.0_r0,20561720,0.7819547859999147,769.0,,,856.0,0.04345324298589739
